Country Name,region,Image URL,1908,1912,1913,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
USA,America,https://www.countryflags.io/us/flat/64.png,1,5,,,,,1,3,12,7,34,5,1,15,4,12,25,53,35,41,31,93,32,41,67,83,73,22,50,18,71,156,82,168,248,239,207,226,90,264,374,221,99,272,213,108,121,134,439,231,256,139,180,407,194,365,291,222,137,273,171,251,295,201,170,117,255,400,54,73,222,75,53,261,109,114,66,241,101,127,127,46,249,60,268,318,14,259,155,569,33,52,50,8,63,73,49,71
Russia,Europe,https://www.countryflags.io/ru/flat/64.png,,,,,,,,,,,,2,,,,,,1,,,,,,50,,,13,,,,,,,,,,,,,,70,,62,25,,9,161,,34,,172,47,87,57,21,130,209,33,191,233,272,498,146,67,367,85,44,248,29,270,106,334,288,,177,9,63,116,40,143,186,24,325,204,84,73,13,5,9,285,55,31,87,45,272,15,97,
Brazil,America,https://www.countryflags.io/br/flat/64.png,,,,,,,,,,,,,,,,,30,,1,3,3,,2,4,,,11,23,18,8,,44,43,11,46,11,34,72,72,67,108,31,48,50,3,68,75,89,140,120,115,65,39,13,9,41,32,20,38,32,34,50,,16,11,18,15,18,88,11,193,18,41,19,6,38,8,16,39,47,21,6,37,,106,4,8,7,10,10,34,18,45,2,173,195,5,252
India,Asia,https://www.countryflags.io/in/flat/64.png,,,,,,,,,1,,1,,1,,,2,,,1,,1,10,,,,,7,2,,,20,21,17,64,35,48,,58,46,55,16,93,8,10,8,11,32,35,72,,111,110,35,8,50,,133,97,45,36,100,55,,,95,31,300,74,46,,40,,3,,19,159,158,13,92,97,25,61,72,,380,2,11,20,56,,12,,,,,,,13
Colombia,America,https://www.countryflags.io/co/flat/64.png,,,,,,,,,,,,,3,,,,,,,,,,5,17,2,,1,8,,,,,,,,87,44,35,65,58,,,21,13,50,15,,45,68,,117,,30,77,104,17,,28,12,20,116,64,119,38,53,35,22,29,93,90,47,3,11,166,13,2,151,129,31,26,11,136,33,253,18,29,58,25,20,19,95,3,12,28,5,18,0,
USSR,Europe,https://www.countryflags.io/ru/flat/64.png,,,,,,,,,,,,,,5,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,69,67,1,197,,,,,,,,162,162,314,134,29,126,100,113,26,203,166,,161,90,10,348,14,8,105,46,62,99,,,,,,,,,,,,,,,,,,
France,Europe,https://www.countryflags.io/fr/flat/64.png,,,,,,18,,,2,7,12,9,1,9,,7,9,4,51,,,2,16,5,17,7,19,5,1,13,,17,75,89,87,28,63,13,117,43,38,47,20,,42,2,33,53,,34,195,66,,,,88,95,,47,58,60,197,346,8,,34,,15,8,180,10,,,,,20,43,25,,,87,4,13,10,10,,15,,112,,,1,,,,0,7,
China,Asia,https://www.countryflags.io/cn/flat/64.png,,,,,,,,,,,17,,,,,,,,4,3,,8,3,,0,3,14,,9,5,13,17,25,168,202,173,47,55,,3,,34,10,,,,,,,,,,,,,1,,,,,,,,,40,,,12,,,137,19,,38,6,40,150,64,128,,263,69,160,,2,35,,67,44,16,115,,60,,40,,,
Japan,Asia,https://www.countryflags.io/jp/flat/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,18,,,,,24,40,,,83,,54,129,35,10,,,41,,3,,16,29,20,13,382,22,12,,4,231,,,,,,,13,,,,24,25,12,537,,,,,,,,,264,,3,,,1,5,,,,,,,,,2
