date,name,category,value
1/1/1908,USA,USA,1
1/1/1912,USA,USA,5
1/1/1913,Germany,Germany,30
1/1/1913,Sea,Sea,14
1/1/1913,Canada,Canada,1
1/1/1915,Belgium,Belgium,21
1/1/1915,Germany,Germany,19
1/1/1916,England,England,61
1/1/1916,Germany,Germany,27
1/1/1916,Bulgeria,Bulgeria,20
1/1/1917,North Sea,North Sea,45
1/1/1917,Germany,Germany,23
1/1/1917,Belgium,Belgium,20
1/1/1917,Denmark,Denmark,18
1/1/1917,France,France,18
1/1/1918,Mediterranean,Mediterranean,23
1/1/1918,Germany,Germany,22
1/1/1918,North Sea,North Sea,19
1/1/1918,USA,USA,1
1/1/1919,USA,USA,3
1/1/1919,Maryland,Maryland,1
1/1/1919,England,England,1
1/1/1919,Channel,Channel,1
1/1/1920,USA,USA,12
1/1/1920,England,England,5
1/1/1920,Spain,Spain,3
1/1/1920,France,France,2
1/1/1920,Maryland,Maryland,1
1/1/1920,India,India,1
1/1/1921,England,England,46
1/1/1921,USA,USA,7
1/1/1921,France,France,7
1/1/1921,Australia,Australia,4
1/1/1921,Gibraltar,Gibraltar,2
1/1/1921,Nevada,Nevada,1
1/1/1921,NY,NY,1
1/1/1922,USA,USA,34
1/1/1922,China,China,17
1/1/1922,France,France,12
1/1/1922,England,England,6
1/1/1922,Italy,Italy,4
1/1/1922,Spain,Spain,3
1/1/1922,Morocco,Morocco,3
1/1/1922,India,India,1
1/1/1923,Sea,Sea,52
1/1/1923,France,France,9
1/1/1923,England,England,6
1/1/1923,USA,USA,5
1/1/1923,Romania,Romania,2
1/1/1923,Russia,Russia,2
1/1/1923,Spain,Spain,1
1/1/1924,England,England,8
1/1/1924,Colombia,Colombia,3
1/1/1924,Channel,Channel,3
1/1/1924,USA,USA,1
1/1/1924,States,States,1
1/1/1924,India,India,1
1/1/1924,France,France,1
1/1/1925,USA,USA,15
1/1/1925,France,France,9
1/1/1925,Spain,Spain,9
1/1/1925,USSR,USSR,5
1/1/1925,Hungary,Hungary,1
1/1/1926,Germany,Germany,9
1/1/1926,Czechoslovakia,Czechoslovakia,7
